condition,band_idx,r_min,logit_drop
clean,0,0.0,0.338624
clean,0,0.0,0.66745996
clean,0,0.0,0.45238304
clean,0,0.0,1.169415
clean,0,0.0,0.81465316
clean,0,0.0,1.1392174
clean,0,0.0,0.87999535
clean,0,0.0,0.6412978
clean,0,0.0,1.0864844
clean,0,0.0,0.6030545
clean,0,0.0,0.42504644
clean,0,0.0,0.3361392
clean,0,0.0,0.6984763
clean,0,0.0,0.54763174
clean,0,0.0,1.068728
clean,0,0.0,0.6617842
clean,0,0.0,0.31100655
clean,0,0.0,0.6390796
clean,0,0.0,1.344687
clean,0,0.0,0.47135258
clean,0,0.0,0.73099375
clean,0,0.0,0.46808958
clean,0,0.0,0.679924
clean,0,0.0,0.67387295
clean,0,0.0,1.2693338
clean,0,0.0,0.5598879
clean,0,0.0,0.933908
clean,0,0.0,0.7327609
clean,0,0.0,1.0165029
clean,0,0.0,1.0456619
clean,0,0.0,0.9435506
clean,0,0.0,0.4055915
clean,0,0.0,1.5506563
clean,0,0.0,0.973125
clean,0,0.0,0.63932705
clean,0,0.0,0.9382963
clean,0,0.0,1.3293099
clean,0,0.0,0.813282
clean,0,0.0,0.46153116
clean,0,0.0,0.7511668
clean,0,0.0,0.8230696
clean,0,0.0,0.2655735
clean,0,0.0,0.47577047
clean,0,0.0,0.20843315
clean,0,0.0,0.5227003
clean,0,0.0,1.3994881
clean,0,0.0,0.5227232
clean,0,0.0,0.7543721
clean,0,0.0,0.8345394
clean,0,0.0,0.36201954
clean,0,0.0,0.6936126
clean,0,0.0,1.1273847
clean,0,0.0,0.25640965
clean,0,0.0,0.6934519
clean,0,0.0,0.75891924
clean,0,0.0,0.30593777
clean,0,0.0,0.4415865
clean,0,0.0,0.88841295
clean,0,0.0,0.49971437
clean,0,0.0,1.0652609
clean,0,0.0,1.1403965
clean,0,0.0,1.284565
clean,0,0.0,0.8130784
clean,0,0.0,0.6311178
clean,0,0.0,0.5140114
clean,0,0.0,1.1202039
clean,0,0.0,0.64205503
clean,0,0.0,0.5964794
clean,0,0.0,0.77255297
clean,0,0.0,0.96287656
clean,0,0.0,0.5464053
clean,0,0.0,0.9144583
clean,0,0.0,0.36055374
clean,0,0.0,0.70774746
clean,0,0.0,0.4638319
clean,0,0.0,0.82617664
clean,0,0.0,0.1334492
clean,0,0.0,0.16423321
clean,0,0.0,0.7997689
clean,0,0.0,0.47809696
clean,0,0.0,0.44570494
clean,0,0.0,0.45071697
clean,0,0.0,0.5498204
clean,0,0.0,1.0109868
clean,0,0.0,0.4307437
clean,0,0.0,0.7612834
clean,0,0.0,0.6677413
clean,0,0.0,1.2407465
clean,0,0.0,0.784235
clean,0,0.0,1.0041313
clean,0,0.0,1.1091278
clean,0,0.0,0.9859066
clean,0,0.0,0.33657837
clean,0,0.0,1.4120517
clean,0,0.0,0.54282
clean,0,0.0,0.88161945
clean,0,0.0,0.32893562
clean,0,0.0,0.3416338
clean,0,0.0,1.2972665
clean,0,0.0,0.5379224
clean,0,0.0,-0.0031290054
clean,0,0.0,0.59527826
clean,0,0.0,0.4143176
clean,0,0.0,0.38877416
clean,0,0.0,0.787117
clean,0,0.0,0.45598745
clean,0,0.0,0.12788105
clean,0,0.0,0.61803913
clean,0,0.0,0.52223873
clean,0,0.0,0.93097687
clean,0,0.0,0.6981151
clean,0,0.0,0.5489917
clean,0,0.0,0.3687222
clean,0,0.0,-0.020807743
clean,0,0.0,0.15089488
clean,0,0.0,0.6226008
clean,0,0.0,0.32081175
clean,0,0.0,0.81576407
clean,0,0.0,0.23865771
clean,0,0.0,0.3867035
clean,0,0.0,-0.018876791
clean,0,0.0,0.13133335
clean,0,0.0,0.17167187
clean,0,0.0,0.6083112
clean,0,0.0,0.47152305
clean,0,0.0,0.25137568
clean,0,0.0,-0.2175901
clean,0,0.0,0.2696767
clean,0,0.0,0.46747303
clean,0,0.0,0.2631545
clean,0,0.0,-0.6010046
clean,0,0.0,0.54713106
clean,0,0.0,0.067192554
clean,0,0.0,0.27370477
clean,0,0.0,0.57852364
clean,0,0.0,0.66172695
clean,0,0.0,0.77816916
clean,0,0.0,1.4581385
clean,0,0.0,-0.23979282
clean,0,0.0,-0.006319046
clean,0,0.0,0.11938667
clean,0,0.0,0.31793547
clean,0,0.0,-0.17057991
clean,0,0.0,0.0038666725
clean,0,0.0,0.28176832
clean,0,0.0,0.06171894
clean,0,0.0,-0.0026192665
clean,0,0.0,-0.2650218
clean,0,0.0,0.33424425
clean,0,0.0,0.7234597
clean,0,0.0,0.6183696
clean,0,0.0,-0.2311452
clean,0,0.0,0.46191692
clean,0,0.0,0.33941746
clean,0,0.0,0.4406314
clean,0,0.0,0.37309206
clean,0,0.0,0.36705112
clean,0,0.0,-0.07763004
clean,0,0.0,0.6054473
clean,0,0.0,0.19406319
clean,0,0.0,-0.13031912
clean,0,0.0,0.35517454
clean,0,0.0,0.051902056
clean,0,0.0,0.49738455
clean,0,0.0,0.6182561
clean,0,0.0,-0.034240246
clean,0,0.0,-0.22355986
clean,0,0.0,0.37415624
clean,0,0.0,0.45399523
clean,0,0.0,0.3299966
clean,0,0.0,0.2768011
clean,0,0.0,0.44557405
clean,0,0.0,0.08504391
clean,0,0.0,-0.019392014
clean,0,0.0,-0.15249395
clean,0,0.0,-0.4959259
clean,0,0.0,0.1484971
clean,0,0.0,0.2789688
clean,0,0.0,0.3706088
clean,0,0.0,0.5995624
clean,0,0.0,0.9600177
clean,0,0.0,-0.06252432
clean,0,0.0,0.42579877
clean,0,0.0,-0.23170567
clean,0,0.0,0.437891
clean,0,0.0,0.06393719
clean,0,0.0,-0.18317485
clean,0,0.0,-0.39067125
clean,0,0.0,0.1570735
clean,0,0.0,0.70012045
clean,0,0.0,-0.032784462
clean,0,0.0,0.2210784
clean,0,0.0,0.6615391
clean,0,0.0,0.288023
clean,0,0.0,-0.3460703
clean,0,0.0,0.21777534
clean,0,0.0,-0.18682384
clean,0,0.0,0.11192751
clean,0,0.0,-0.21192217
clean,0,0.0,0.60840845
clean,0,0.0,0.1574378
