condition,band_idx,r_min,logit_drop
clean,0,0.0,0.23441839
clean,0,0.0,0.47739506
clean,0,0.0,0.9854727
clean,0,0.0,0.5497923
clean,0,0.0,0.54978323
clean,0,0.0,0.6946807
clean,0,0.0,0.63704515
clean,0,0.0,0.7125139
clean,0,0.0,0.8589115
clean,0,0.0,0.21030807
clean,0,0.0,0.4656701
clean,0,0.0,0.9465718
clean,0,0.0,0.5554166
clean,0,0.0,1.191986
clean,0,0.0,0.82959604
clean,0,0.0,1.8388052
clean,0,0.0,0.35882282
clean,0,0.0,1.4918905
clean,0,0.0,0.7390752
clean,0,0.0,0.09648752
clean,0,0.0,-0.0077028275
clean,0,0.0,0.65869665
clean,0,0.0,1.0303774
clean,0,0.0,0.5326686
clean,0,0.0,0.88284874
clean,0,0.0,0.9711962
clean,0,0.0,0.667078
clean,0,0.0,0.7710929
clean,0,0.0,0.5213108
clean,0,0.0,1.3130178
clean,0,0.0,0.82678556
clean,0,0.0,0.2459569
clean,0,0.0,0.21130323
clean,0,0.0,0.2758565
clean,0,0.0,0.16621351
clean,0,0.0,0.61253405
clean,0,0.0,0.36672544
clean,0,0.0,0.6426101
clean,0,0.0,-0.10104799
clean,0,0.0,0.75236845
clean,0,0.0,0.82143164
clean,0,0.0,0.9644532
clean,0,0.0,1.5463185
clean,0,0.0,0.7408347
clean,0,0.0,0.67978954
clean,0,0.0,0.48486948
clean,0,0.0,1.2435012
clean,0,0.0,0.73061514
clean,0,0.0,0.94691896
clean,0,0.0,0.46000814
clean,0,0.0,0.6815829
clean,0,0.0,0.8513565
clean,0,0.0,0.59160614
clean,0,0.0,0.7594323
clean,0,0.0,0.6069727
clean,0,0.0,0.31970167
clean,0,0.0,0.9023385
clean,0,0.0,0.32472944
clean,0,0.0,0.655385
clean,0,0.0,0.39549208
clean,0,0.0,1.1953187
clean,0,0.0,0.47531843
clean,0,0.0,0.41811848
clean,0,0.0,0.53890467
clean,0,0.0,0.9458885
clean,0,0.0,0.81402206
clean,0,0.0,0.62051773
clean,0,0.0,1.2101744
clean,0,0.0,0.5343714
clean,0,0.0,0.58087444
clean,0,0.0,0.78797054
clean,0,0.0,0.550755
clean,0,0.0,0.80544424
clean,0,0.0,0.85263824
clean,0,0.0,0.5774603
clean,0,0.0,0.82671523
clean,0,0.0,0.57199335
clean,0,0.0,0.44976282
clean,0,0.0,0.73916864
clean,0,0.0,0.47061992
clean,0,0.0,-0.24925327
clean,0,0.0,0.66485834
clean,0,0.0,0.78734446
clean,0,0.0,0.7179904
clean,0,0.0,1.0986266
clean,0,0.0,0.70316744
clean,0,0.0,0.558877
clean,0,0.0,0.74659634
clean,0,0.0,1.1365616
clean,0,0.0,0.82199955
clean,0,0.0,0.924819
clean,0,0.0,0.65242434
clean,0,0.0,0.59024715
clean,0,0.0,1.2628155
clean,0,0.0,0.5126581
clean,0,0.0,0.7047448
clean,0,0.0,0.5978584
clean,0,0.0,0.7306652
clean,0,0.0,0.5883398
clean,0,0.0,1.3076282
clean,0,0.0,0.80807304
clean,0,0.0,0.6892941
clean,0,0.0,0.21115112
clean,0,0.0,0.17735863
clean,0,0.0,0.28798938
clean,0,0.0,0.64549637
clean,0,0.0,0.58172846
clean,0,0.0,0.35588932
clean,0,0.0,0.3081143
clean,0,0.0,0.6050463
clean,0,0.0,0.12595701
clean,0,0.0,0.9362445
clean,0,0.0,0.5478473
clean,0,0.0,0.26272058
clean,0,0.0,0.97299147
clean,0,0.0,0.46472836
clean,0,0.0,0.10726166
clean,0,0.0,0.5371275
clean,0,0.0,-0.09831762
clean,0,0.0,0.6026025
clean,0,0.0,-0.019059896
clean,0,0.0,0.65884876
clean,0,0.0,0.34444284
clean,0,0.0,0.31299925
clean,0,0.0,0.17227077
clean,0,0.0,-0.110458374
clean,0,0.0,0.23846292
clean,0,0.0,0.24639177
clean,0,0.0,0.5490985
clean,0,0.0,-0.20939112
clean,0,0.0,0.17836285
clean,0,0.0,0.461401
clean,0,0.0,-0.15205431
clean,0,0.0,0.27715874
clean,0,0.0,0.7343383
clean,0,0.0,0.64574766
clean,0,0.0,0.5220847
clean,0,0.0,0.387599
clean,0,0.0,0.5518849
clean,0,0.0,0.21858072
clean,0,0.0,0.0103907585
clean,0,0.0,0.48315454
clean,0,0.0,0.29698658
clean,0,0.0,0.26561308
clean,0,0.0,-0.024961948
clean,0,0.0,0.62221384
clean,0,0.0,1.0926008
clean,0,0.0,0.21811295
clean,0,0.0,0.44969606
clean,0,0.0,0.8146033
clean,0,0.0,0.4070444
clean,0,0.0,0.96017313
clean,0,0.0,0.26560688
clean,0,0.0,0.41847682
clean,0,0.0,0.85997343
clean,0,0.0,0.43334246
clean,0,0.0,0.021438599
clean,0,0.0,0.27594328
clean,0,0.0,-0.17545891
